text,occurrence
realdonaldtrump,8589
trump,4762
be,4547
great,4287
will,4213
are,3141
with,2911
have,2734
thanks,2147
thank,2102
all,2038
president,1982
can,1915
was,1864
donald,1715
has,1695
what,1543
obama,1522
people,1510
do,1468
from,1427
america,1387
if,1380
but,1366
would,1352
who,1349
get,1315
no,1307
new,1287
about,1276
very,1261
like,1259
out,1211
make,1174
now,1166
one,1158
time,1157
country,1143
good,1121
should,1117
don,1100
more,1066
run,1066
up,1018
big,960
again,930
love,884
best,881
never,863
how,859
think,850
only,849
trump2016,846
today,841
vote,822
going,821
need,819
why,814
via,802
back,793
or,787
see,777
true,761
than,757
many,744
barackobama,741
there,724
show,715
him,713
hillary,711
really,704
much,688
tonight,685
over,682
go,674
mr,670
been,642
rt,641
last,635
their,621
them,616
job,607
work,602
know,600
must,598
watch,582
want,580
world,575
win,565
day,563
makeamericagreatagain,559
right,558
2016,554
night,547
amazing,547
being,541
bad,539
had,533
way,532
deal,531
china,529
please,523
even,519
interview,517
better,508
did,508
were,502
doing,499
jobs,498
obamacare,493
ever,492
man,489
keep,485
nice,484
american,483
first,481
golf,480
foxnews,480
news,475
said,475
apprentice,468
years,468
always,457
business,456
real,455
cont,455
clinton,454
foxandfriends,450
because,450
look,435
let,434
money,430
hope,430
after,428
celebapprentice,427
down,422
made,413
needs,413
course,409
apprenticenbc,409
take,408
got,408
won,408
cnn,405
most,404
well,404
say,404
next,401
into,399
looking,393
debate,390
national,387
poll,384
tomorrow,382
year,380
give,378
hard,377
happy,373
another,367
could,364
forward,363
media,363
done,361
too,359
ve,356
gop,343
stop,338
does,338
success,337
other,335
enjoy,333
some,332
record,329
believe,329
doesn,326
wow,324
election,322
any,320
then,319
every,319
nothing,319
mittromney,314
against,313
smart,310
where,308
nbc,307
everyone,307
house,307
campaign,306
speech,303
total,301
support,301
beautiful,300
live,298
agree,297
soon,297
guy,293
wait,291
which,291
here,288
its,287
morning,286
things,286
fantastic,284
state,283
come,278
season,277
congratulations,276
off,275
crooked,272
hotel,272
tax,271
long,271
celebrity,269
watching,267
office,267
such,266
getting,266
wonderful,265
two,265
usa,262
ratings,260
remember,259
before,259
yes,259
place,257
book,256
help,255
yesterday,253
cruz,253
join,253
miss,252
life,252
read,250
bush,248
also,248
states,247
republican,246
far,246
leader,246
entrepreneurs,244
sure,243
iowa,243
york,243
person,242
totally,242
change,242
still,242
week,241
top,241
donaldtrump,240
while,240
strong,238
put,236
making,235
running,234
iran,233
tower,232
republicans,231
sad,231
thing,230
own,229
americans,228
million,228
talk,227
economy,227
scotland,227
star,226
terrible,226
wants,226
ivankatrump,225
united,224
leadership,223
fox,223
tough,223
honor,222
working,218
says,216
luck,215
wrong,214
truth,209
washington,209
didn,208
family,208
bill,207
lot,205
white,205
crowd,204
story,204
discussing,203
under,203
yourself,203
polls,202
these,202
jeb,201
party,199
art,199
stay,198
since,197
lost,196
high,196
chicago,195
government,195
fast,195
without,194
start,194
awesome,193
florida,192
proud,192
both,191
bring,191
presidential,189
disaster,188
coming,188
once,187
major,186
together,185
times,184
military,184
fake,183
john,183
others,182
hear,182
border,182
anyone,181
those,181
use,181
someone,180
may,177
same,177
everything,177
something,176
care,176
pay,176
attack,175
friends,175
fight,175
democrats,175
called,175
history,175
debt,175
looks,174
isis,174
candidate,174
massive,174
yet,174
birthday,173
tell,172
building,172
leaders,170
during,170
failing,170
interesting,170
focus,169
city,169
women,168
winning,168
potus,168
energy,168
saying,167
rubio,167
knows,167
numbers,166
pm,166
greatest,166
old,166
truly,165
doral,165
call,165
russia,164
interviewed,163
open,163
respect,163
enough,162
iraq,161
already,161
north,160
security,160
save,160
megynkelly,159
meeting,159
ready,159
away,159
nation,158
stupid,157
oil,157
ted,157
special,157
trade,157
sunday,156
lead,156
talking,156
anything,156
problem,155
until,155
successful,155
home,155
seanhannity,154
club,154
gave,153
wind,153
celebrityapprentice,153
video,152
congrats,152
champion,152
illegal,152
told,152
fix,152
important,152
words,151
game,151
having,151
find,151
team,150
around,150
name,150
carolina,149
twitter,149
hit,149
nyc,149
south,149
mexico,148
play,148
worst,147
ago,147
order,147
political,146
isn,146
100,146
end,145
taxes,145
plan,145
friend,145
oreillyfactor,145
tv,144
failed,144
happen,144
immigration,144
fun,144
through,143
beat,142
wall,142
winner,142
else,141
little,139
point,139
press,139
become,138
god,138
macys,138
millions,138
makes,138
check,138
erictrump,137
problems,137
gets,137
wish,137
post,136
worse,135
class,135
chance,135
fired,135
mind,134
ties,134
hampshire,134
left,134
greta,134
speak,134
trumpdoral,133
ohio,132
mess,132
dishonest,132
buy,132
maga,131
weak,131
politicians,130
went,130
global,130
sign,130
nytimes,129
shows,128
loved,127
rally,127
learn,127
fan,127
build,127
fact,127
trying,127
spending,126
politics,126
hell,125
healthcare,125
dollars,125
used,125
bit,123
sir,123
j,122
international,122
losers,122
future,121
days,121
power,120
biggest,120
pres,120
actually,119
loser,119
monday,119
taking,119
thinking,119
full,118
congress,118
move,117
hate,117
control,116
event,116
cannot,116
spent,115
romney,115
race,115
badly,115
report,115
wonder,115
general,115
public,114
thought,114
voting,114
victory,114
favorite,114
speaking,113
dumb,113
warming,113
finally,113
economic,113
set,113
administration,113
war,113
incredible,113
macy,111
ly,111
free,111
follow,111
int,111
low,111
dems,111
absolutely,110
safe,110
close,110
senate,110
visit,109
ask,109
less,109
stand,109
seen,109
l,108
syria,108
tremendous,108
trumpchicago,107
donaldjtrumpjr,107
vegas,107
deals,107
touch,107
charity,106
watched,106
nobody,106
supporters,105
playing,105
haters,105
killing,105
mitt,104
timetogettough,104
continue,104
com,103
small,103
market,102
ebola,102
law,102
zero,102
korea,101
ny,101
thoughts,101
part,101
cut,101
excited,101
welcome,101
released,100
israel,100
veterans,100
saw,100
governor,100
weekend,99
reason,99
lightweight,99
senator,99
almost,99
statement,99
service,99
cuts,99
mark,98
huge,98
decision,98
convention,98
tweets,98
dc,97
glad,97
tune,97
giving,97
feel,97
loves,96
killed,96
wife,96
waste,96
primary,96
terrific,95
reagan,95
try,95
bernie,94
forget,94
foreign,94
policy,94
crazy,94
easy,94
2012,94
americafirst,94
men,94
budget,93
alexsalmond,93
sense,93
boring,93
tweet,93
turbines,93
turn,93
lies,93
virginia,92
article,92
magazine,92
saturday,92
past,92
melania,92
listen,92
given,92
miami,91
able,91
leaving,91
thx,91
create,90
instead,90
gretawire,90
act,90
results,90
hillaryclinton,90
gas,90
west,90
action,90
fair,90
blue,89
comes,89
young,89
abc,89
second,89
billmaher,89
advice,89
billion,89
worth,88
children,88
pennsylvania,88
air,88
evening,88
lots,88
choice,88
fire,88
letterman,87
came,87
case,87
correct,87
late,87
nfl,87
candidates,87
word,87
highest,86
immediately,86
played,86
failure,86
unemployment,86
losing,86
face,86
david,85
meet,85
father,85
protect,85
carson,85
system,85
countries,85
marco,85
heard,85
fighting,85
television,84
turnberry,84
episode,84
including,84
bought,84
lie,84
maybe,84
yankees,84
dead,84
n,83
idea,83
least,83
links,83
lives,83
trumpvlog,83
reading,83
eric,83
nuclear,83
lose,83
allowed,83
joke,83
16,82
pageant,82
brand,82
texas,82
conference,82
answer,82
universe,82
son,82
stock,82
credit,81
chris,81
tuesday,81
each,81
talent,81
voters,81
newsmax_media,81
line,81
phony,80
took,80
wins,80
ran,80
prices,80
started,80
mistake,80
horrible,80
voted,79
george,79
reality,79
view,79
heading,79
growth,79
rosie,79
laughing,78
minutes,78
mike,78
exciting,78
term,78
beach,78
middle,78
standing,78
trumpforpresident,78
march,78
repeal,78
complete,78
woman,77
votes,77
midas,77
beginning,77
piersmorgan,77
crime,77
longer,77
